DATOS EPP,,,,,,DATOS EVALUACIÓN,,,,,,
#ID,TIPO EPP,SERVICIO ,ALTA (año),AÑOS,REQUIERE RX,INTEGRIDAD BLINDAJE,COSTURAS Y SUJECIONES,INTEGRIDAD EXTERNA,ESTADO,DESC,PARA REPARAR,COMENTARIOS
11828,Delantal,-,2025,1,NO,OK,Defectuoso,OK,BAJO RESERVA,FALSE,,PARA DESCARTE POR TIEMPO CADUCIDAD
11829,Delantal,-,2000,26,NO,Defectuoso,Defectuoso,OK,A DESCARTAR,FALSE,,PARA DESCARTE POR TIEMPO CADUCIDAD
11830,Delantal,-,2000,26,NO,Defectuoso,Defectuoso,OK,A DESCARTAR,FALSE,,PARA DESCARTE POR TIEMPO CADUCIDAD
10037,Delantal,Medicina Nuclear 1,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,EX 061808. RADIOSCOPIA OK
10187,Delantal,Contrastada Medico Residente,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,EX 121933
10188,Delantal,Contrastada Dr Rueda,2019,7,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,SI,EX 121936 (REFORZAR COSTURA HOMBRO)
11834,Delantal,Imagenes,2018,8,NO,OK,Defectuoso,Defectuoso,A DESCARTAR,FALSE,SI,EX 061810 (FALTAN TIRAS y LA TELA TIENE UN 7)
11835,Delantal,-,2000,26,NO,OK,Defectuoso,Defectuoso,A DESCARTAR,FALSE,,PARA DESCARTE. MANGA CORTADA Y ESTA COSIDO ENCIMA LA GOMA
11836,Delantal,Imagenes,2018,8,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,SI,EX 061813 (FALTAN TIRAS)
10015,Delantal,Imagenes,2018,8,NO,OK,Defectuoso,Defectuoso,A DESCARTAR,FALSE,SI,"EX 061814 (LA TIRA ESTA ATADA, FALTA GANCHO Y LA TELA TIENE UN 7 PEQUEÑO) radioscopia ok"
10029,Conj-Chaleco,Hemo -Peirone,2018,8,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,,"EX 071804 (VELCRO NO ADHIERE, LIMPIAR O REEMPLAZO?). RADIOSCOPIA OK"
